Distances,VQE Energies,Exact Energies,HF Energies
0.5,-1.055159794470595,-1.055159794470623,-1.042996274540095
0.75,-1.1371170673457094,-1.1371170673457298,-1.1161514489386022
1.0,-1.1011503302325423,-1.1011503302326204,-1.0661086493179366
1.25,-1.0457831445493615,-1.045783144549799,-0.9891138140908916
1.5,-0.9981493534711627,-0.9981493534714077,-0.9108735545943867
1.75,-0.9663345447802967,-0.9663345447803118,-0.8413485984542797
2.0,-0.9486411121757186,-0.9486411121761864,-0.7837926542773532
2.25,-0.9399817051849342,-0.9399817052005937,-0.7381688272448945
2.5,-0.9360549199196899,-0.9360549199556076,-0.7029435997235272
2.75,-0.9343489877046529,-0.9343489877473083,-0.6761723104626474
3.0,-0.9336318445197036,-0.9336318445584995,-0.656048251145591
3.25,-0.9333412806726046,-0.9333412807074543,-0.641028855614158
3.5,-0.9332284055175956,-0.9332284055497174,-0.629820110121346
3.75,-0.9331863895006669,-0.933186389529951,-0.6213702691591702
4.0,-0.9331713618153356,-0.9331713618436485,-0.6148699740425608
4.25,-0.9331661854455628,-0.9331661854734943,-0.6097312576935567
