Distances,VQE Energies,Exact Energies
-0.8,-55.88832755,-56.00671984
-0.7,-55.93559273,-56.03714104
-0.6,-55.96843326,-56.05606672
-0.55,-55.97919436,-56.06073527
-0.5,-55.98618033,-56.06220989
-0.45,-55.98960846,-56.06069793
-0.4,-55.98988315,-56.056584
-0.35,-55.98758329,-56.05041989
-0.25,-55.9782007,-56.0347708
-0.1,-55.96361999,-56.01435464
0.0,-55.96015043,-56.00969163
0.1,-55.96361999,-56.01435464
0.25,-55.9782007,-56.0347708
0.35,-55.98758329,-56.05041989
0.4,-55.98988315,-56.056584
0.45,-55.98960846,-56.06069793
0.5,-55.98618033,-56.06220989
0.55,-55.97919436,-56.06073527
0.6,-55.96843326,-56.05606672
0.7,-55.93559273,-56.03714104
0.8,-55.88832755,-56.00671984
